Codigo Linha;Linha;Categorias
001;SAND.KIDY BABY EQUILIBRIO;SANDÁLIA
007;TENIS KIDY PLAY RESPITEC;TÊNIS
008;TENIS KIDY COLORS EQUILIBRIO;TÊNIS
011;K360 CASUAL CONFORTO;TÊNIS
015;SAPATILHA KIDY BABY;SAPATILHA
016;MOCASSIM KIDY BABY;MOCASSIM
020;TENIS KIDY FLEX LIGHT;TÊNIS
021;SANDALIA KIDY WAVE ANATOMICA;SANDÁLIA
027;SAPATILHA KIDY SOFT;SAPATILHA
028;BOTA KIDY LOVE FASHION;BOTA
030;BOTA KIDY LOVE GLAM;BOTA
031;COTURNO KIDY MAX;COTURNO
035;TENIS KIDY LIGHT FUN;TÊNIS
036;BOTA KIDY MONTARIA BABY;BOTA
037;TENIS K-360 ENERGY RESPI-TEC;TÊNIS
041;TENIS KIDY ENERGY BABY RESPITEC;TÊNIS
069;SAND.KIDY FLEX ANATÔMICA;SANDÁLIA
070;BOTA KIDY MONTARIA;BOTA
080;SANDÁLIA ANABELA KIDY MADRID;SANDÁLIA
083;TÊNIS KIDY 3D RESPITEC;TÊNIS
084;BOTA KIDY FASHION BABY;BOTA
086;COTURNO KIDY WALK;COTURNO
087;TENIS KIDY USEFULL COLLEGE;TÊNIS
088;TENIS KIDY USEFULL MIAMI;TÊNIS
091;TENIS K360 ALPHA-AIR;TÊNIS
092;TÊNIS KIDY IT GIRL;TÊNIS
096;TENIS KIDY FREE;TÊNIS
097;TENIS K360 STYLE;TÊNIS
102;KIDY SOCKS FUN;MEIA
113;TÊNIS KIDY ILLUSION-TEC;TÊNIS
116;TÊNIS KIDY IT BOY RESPITEC;TÊNIS
117;SAPATENIS KIDY MILAO RESPITEC;SAPATENIS
121;TÊNIS KIDY URBAN;TÊNIS
133;TÊNIS USEFULL KIDY LOOPING;TÊNIS
140;TÊNIS K360 NOVA YORK;TÊNIS
143;SAPATILHA KIDY;SAPATILHA
145;SANDALIA KIDY FLAT FORM;SANDÁLIA
146;SANDÁLIA KIDY IBIZA FOLIA;SANDÁLIA
154;BOTA KIDY SOFT;BOTA
156;SANDALIA KIDY AMAR E COMFORT;SANDÁLIA
159;SAND.KIDY COMFORT;SANDÁLIA
163;SANDALIA KIDY FLEX LIGHT;SANDÁLIA
166;TÊNIS K360 RESPITEC ULTRA;TÊNIS
168;TENIS KIDY MAIS;TÊNIS
172;SANDÁLIA KIDY WAVE LIGHT;SANDÁLIA
184;TÊNIS KIDY HYPE;TÊNIS
191;SANDALIA KIDY FLY;SANDÁLIA
192;SANDALIA KIDY FLY BABY;SANDÁLIA
312;BOTA KIDY FOLK;BOTA
313;TÊNIS KIDY HAPPY;TÊNIS
319;TÊNIS K360 RODINHA;TÊNIS
327;TÊNIS K-360 SUPER LEVE;TÊNIS
328;BOTA KIDY LIZ;BOTA
329;TENIS KIDY ASTRAL;TÊNIS
337;TENIS KIDY LEBLON;TÊNIS
363;BOTA KIDY STYLE;BOTA
364;JOGGING KIDS JUMP MINECRAFT;TÊNIS
369;SANDÁLIA KIDY GLOSS;SANDÁLIA
370;TÊNIS ENERGY TEEN MINE CRAFT;TÊNIS
391;SANDÁLIA KIDY TOYS BABY;SANDÁLIA
392;SANDÁLIA KIDY TOYS;SANDÁLIA
420;SANDÁLIA KIDY ISIS;SANDÁLIA
425;SANDALIA FANFIK;SANDÁLIA
428;TENIS K360 JOGGER;TÊNIS
434;BOTA FANFIK TRENDY;BOTA
437;PAPETE KIDY FASHION;PAPETE
438;TENIS KIDY SUPER CONFORTO RESPI-TEC;TÊNIS
440;SANDALIA KIDY MINI FLAT FORM;SANDÁLIA
441;RASTEIRA FLAT;RASTEIRA
442;FLAT FORM;SANDÁLIA
444;PAPETE IMPULSO;PAPETE
445;TENIS KIDY ULTRA FLEX;TÊNIS
446;TENIS KIDY EQUILIBRIO;TÊNIS
448;TENIS K-360 ESTILO RESPI-TEC;TÊNIS
451;PAPETE KIDY PLAY;PAPETE
452;TENIS RK 70;TÊNIS
453;TENIS K360 ENERGY 2;TÊNIS
454;SANDÁLIA KIDY AURORA;SANDÁLIA
455;TENIS K360 RETRO;TÊNIS
456;SANDALIA KIDY CRISTAL;SANDÁLIA
457;TENIS K360 ULTRA LEVE;TÊNIS
