Codigo Linha;Linha;Referencia;Produto;Qtd Venda
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO CAFÉ/MARINHO;162 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO CASTANHO/CAMEL;703 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO CASTANHO/MARINHO;96 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO CINZA/MARINHO;525 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO MARINHO/AZUL STONE;135 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO MARINHO/LARANJA;1.103 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO MARINHO/TAUPE;213 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO MARINHO/VERDE;51 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO NATURAL/CARAMELO;1.735 
001;SAND.KIDY BABY EQUILIBRIO;0011019;SANDALIA KIDY BABY EQUILIBRIO MARINHO;180 
001;SAND.KIDY BABY EQUILIBRIO;0011019;SANDALIA KIDY BABY EQUILIBRIO PRETO/VERDE;240 
001;SAND.KIDY BABY EQUILIBRIO;0011025;SANDALIA KIDY BABY EQUILIBRIO CASTANHO/MARINHO;12 
001;SAND.KIDY BABY EQUILIBRIO;0011025;SANDALIA KIDY BABY EQUILIBRIO CASTOR/LARANJA;12 
001;SAND.KIDY BABY EQUILIBRIO;0011025;SANDALIA KIDY BABY EQUILIBRIO MARINHO/AZ.STONE;192 
001;SAND.KIDY BABY EQUILIBRIO;0011026;SAND.KIDY BB MNO PRETO/CAFÉ;168 
001;SAND.KIDY BABY EQUILIBRIO;0011027;SAND.KIDY BB MNO CASTANHO/MARINHO;356 
