Codigo Linha;Linha;Referencia;Produto;Qtd Venda
001;SAND.KIDY BABY EQUILIBRIO;0010870;SAND.KIDY BABY MNO EQUILÍBRIO TAUPE/CASTOR;12 
001;SAND.KIDY BABY EQUILIBRIO;0010874;SAND.KIDY BABY MNO EQUILÍBRIO PTO/NATURAL/LARANJA;9 
001;SAND.KIDY BABY EQUILIBRIO;0010890;SAND.KIDY BABY MNO EQUILÍBRIO MARINHO/VERMELHO;11 
001;SAND.KIDY BABY EQUILIBRIO;0010894;SAND.KIDY BABY MNO EQUILÍBRIO PRETO;12 
001;SAND.KIDY BABY EQUILIBRIO;0010894;SAND.KIDY BABY MNO EQUILÍBRIO TAUPE/LARANJA;12 
001;SAND.KIDY BABY EQUILIBRIO;0010903;SAND.KIDY BABY MNO EQUILÍBRIO MARINHO/CINZA;24 
001;SAND.KIDY BABY EQUILIBRIO;0010903;SAND.KIDY BABY MNO EQUILÍBRIO PRETO/NATURAL;12 
001;SAND.KIDY BABY EQUILIBRIO;0010904;SAND.KIDY BABY MNO EQUILÍBRIO MARINHO/VERMELHO;12 
001;SAND.KIDY BABY EQUILIBRIO;0010905;SAND.KIDY BABY MNO EQUILÍBRIO MARROM/AZUL;42 
001;SAND.KIDY BABY EQUILIBRIO;0010906;SAND.KIDY BABY MNO EQUILÍBRIO CASTOR/TAUPE/MARINHO;12 
001;SAND.KIDY BABY EQUILIBRIO;0010915;SAND.KIDY BABY MNO EQUILÍBRIO AZ.STONE;0 
001;SAND.KIDY BABY EQUILIBRIO;0010915;SAND.KIDY BABY MNO EQUILÍBRIO MARINHO;24 
001;SAND.KIDY BABY EQUILIBRIO;0010919;SAND.KIDY BABY MNO EQUILÍBRIO MARINHO;24 
001;SAND.KIDY BABY EQUILIBRIO;0010921;SAND.KIDY BABY MNA EQUILÍBRIO GÉRBERA/NUDE/PINK;12 
001;SAND.KIDY BABY EQUILIBRIO;0010921;SAND.KIDY BABY MNA EQUILÍBRIO LILÁS/NUDE/PINK;24 
001;SAND.KIDY BABY EQUILIBRIO;0010921;SAND.KIDY BABY MNA EQUILÍBRIO PINK/NUDE/LILÁS;0 
001;SAND.KIDY BABY EQUILIBRIO;0010921;SAND.KIDY BABY MNO EQUILÍBRIO CINZA/AZUL ROYAL;12 
001;SAND.KIDY BABY EQUILIBRIO;0010921;SAND.KIDY BABY MNO EQUILÍBRIO MARINHO/AZUL/VERMLHO;18 
001;SAND.KIDY BABY EQUILIBRIO;0010921;SAND.KIDY BABY MNO EQUILÍBRIO PRETO/GRAFITE/LARNJA;0 
001;SAND.KIDY BABY EQUILIBRIO;0010922;SAND.KIDY BABY MNO EQUILÍBRIO MARINHO/CINZA;932 
001;SAND.KIDY BABY EQUILIBRIO;0010941;SAND.KIDY BB MNO EQUILÍBRIO CASTANHO/MARINHO;12 
001;SAND.KIDY BABY EQUILIBRIO;0010941;SAND.KIDY BB MNO EQUILÍBRIO MARROM/CAMEL;12 
001;SAND.KIDY BABY EQUILIBRIO;0010951;SAND.KIDY BB MNO EQUILÍBRIO MARINHO/CAQUI;24 
001;SAND.KIDY BABY EQUILIBRIO;0010952;SAND.KIDY BB MNO EQUILÍBRIO MARINHO;6 
001;SAND.KIDY BABY EQUILIBRIO;0010958;SAND.KIDY BB MNO EQUILÍBRIO MARINHO/VERMELHO;24 
001;SAND.KIDY BABY EQUILIBRIO;0010958;SAND.KIDY BB MNO EQUILÍBRIO MARROM;144 
001;SAND.KIDY BABY EQUILIBRIO;0010966;SAND.KIDY BB MNO EQUILÍBRIO PRETO;18 
001;SAND.KIDY BABY EQUILIBRIO;0010967;SAND.KIDY BB MNO EQUILÍBRIO BRANCO;34 
001;SAND.KIDY BABY EQUILIBRIO;0010968;SAND.KIDY BB MNO EQUILÍBRIO AREIA/BRANCO;107 
001;SAND.KIDY BABY EQUILIBRIO;0010968;SAND.KIDY BB MNO EQUILÍBRIO CASTANHO/MARINHO;228 
001;SAND.KIDY BABY EQUILIBRIO;0010968;SAND.KIDY BB MNO EQUILÍBRIO MARINHO;204 
001;SAND.KIDY BABY EQUILIBRIO;0010969;SAND.KIDY BB MNO EQUILÍBRIO CASTANHO;24 
001;SAND.KIDY BABY EQUILIBRIO;0010969;SAND.KIDY BB MNO EQUILÍBRIO MARINHO/AZUL;839 
001;SAND.KIDY BABY EQUILIBRIO;0010969;SAND.KIDY BB MNO EQUILÍBRIO MARINHO/MOSTARDA;767 
001;SAND.KIDY BABY EQUILIBRIO;0010972;SAND.KIDY BB MNO EQUILÍBRIO CINZA/AZUL;12 
001;SAND.KIDY BABY EQUILIBRIO;0010975;SAND.KIDY BB MNO EQUILÍBRIO CASTANHO/TAUPE/AZUL;0 
001;SAND.KIDY BABY EQUILIBRIO;0010975;SAND.KIDY BB MNO EQUILÍBRIO MARINHO;336 
001;SAND.KIDY BABY EQUILIBRIO;0010977;SAND.KIDY BB MNO EQUILÍBRIO AZUL/BRANCO;6 
001;SAND.KIDY BABY EQUILIBRIO;0010977;SAND.KIDY BB MNO EQUILÍBRIO CINZA/PRETO;20 
001;SAND.KIDY BABY EQUILIBRIO;0010977;SAND.KIDY BB MNO EQUILÍBRIO MARINHO/CARAMELO;39 
001;SAND.KIDY BABY EQUILIBRIO;0010977;SAND.KIDY BB MNO EQUILÍBRIO TAUPE/MARROM;24 
001;SAND.KIDY BABY EQUILIBRIO;0010980;SAND.KIDY BB MNO EQUILÍBRIO AZUL/VERMELHO;2.276 
001;SAND.KIDY BABY EQUILIBRIO;0010980;SAND.KIDY BB MNO EQUILÍBRIO MARINHO/VERDE;3.242 
001;SAND.KIDY BABY EQUILIBRIO;0010980;SAND.KIDY BB MNO EQUILÍBRIO MARROM/TAUPE;1.776 
001;SAND.KIDY BABY EQUILIBRIO;0010980;SAND.KIDY BB MNO EQUILÍBRIO PRETO/LARANJA;74 
001;SAND.KIDY BABY EQUILIBRIO;0010982;SAND.KIDY BB MNO EQUILÍBRIO AZUL STONE/MARINHO/AMARELO;39 
001;SAND.KIDY BABY EQUILIBRIO;0010982;SAND.KIDY BB MNO EQUILÍBRIO CINZA/MARINHO;39 
001;SAND.KIDY BABY EQUILIBRIO;0010982;SAND.KIDY BB MNO EQUILÍBRIO MARINHO/VERMELHO;30 
001;SAND.KIDY BABY EQUILIBRIO;0010982;SAND.KIDY BB MNO EQUILÍBRIO MARROM/TAUPE/CINZA;12 
001;SAND.KIDY BABY EQUILIBRIO;0010985;SAND.KIDY BB MNO EQUILÍBRIO CAFE/MARINHO;425 
001;SAND.KIDY BABY EQUILIBRIO;0010985;SAND.KIDY BB MNO EQUILÍBRIO CASTANHO/CAMEL;920 
001;SAND.KIDY BABY EQUILIBRIO;0010985;SAND.KIDY BB MNO EQUILÍBRIO CINZA/MARINHO;716 
001;SAND.KIDY BABY EQUILIBRIO;0010985;SAND.KIDY BB MNO EQUILÍBRIO MARINHO/LARANJA;2.484 
001;SAND.KIDY BABY EQUILIBRIO;0010985;SAND.KIDY BB MNO EQUILÍBRIO NATURAL/CARAMELO;65 
001;SAND.KIDY BABY EQUILIBRIO;0010986;SAND.KIDY BB MNO EQUILÍBRIO CARAMELO;557 
001;SAND.KIDY BABY EQUILIBRIO;0010986;SAND.KIDY BB MNO EQUILÍBRIO CASTOR;725 
001;SAND.KIDY BABY EQUILIBRIO;0010986;SAND.KIDY BB MNO EQUILÍBRIO NATURAL/MARINHO;258 
001;SAND.KIDY BABY EQUILIBRIO;0010986;SAND.KIDY BB MNO EQUILÍBRIO PRETO/LARANJA;332 
001;SAND.KIDY BABY EQUILIBRIO;0010987;SAND.KIDY BB MNO EQUILÍBRIO AZUL MARINHO/VERMELHO;508 
001;SAND.KIDY BABY EQUILIBRIO;0010987;SAND.KIDY BB MNO EQUILÍBRIO AZUL STONE/TAUPE;84 
001;SAND.KIDY BABY EQUILIBRIO;0010987;SAND.KIDY BB MNO EQUILÍBRIO CAFÉ/CASTANHO;233 
001;SAND.KIDY BABY EQUILIBRIO;0010987;SAND.KIDY BB MNO EQUILÍBRIO NATURAL;730 
001;SAND.KIDY BABY EQUILIBRIO;0010989;SAND.KIDY BB MNO EQUILIBRIO CARAMELO;678 
001;SAND.KIDY BABY EQUILIBRIO;0010989;SAND.KIDY BB MNO EQUILIBRIO CINZA;57 
001;SAND.KIDY BABY EQUILIBRIO;0010989;SAND.KIDY BB MNO EQUILIBRIO MARROM;774 
001;SAND.KIDY BABY EQUILIBRIO;0010989;SAND.KIDY BB MNO EQUILIBRIO PRETO;399 
001;SAND.KIDY BABY EQUILIBRIO;0010991;SAND.KIDY BABY MNO EQUILÍBRIO PRETO;36 
001;SAND.KIDY BABY EQUILIBRIO;0010992;SAND.KIDY BB MNO EQUILÍBRIO AZUL STONE;1.080 
001;SAND.KIDY BABY EQUILIBRIO;0010992;SAND.KIDY BB MNO EQUILÍBRIO CARAMELO;195 
001;SAND.KIDY BABY EQUILIBRIO;0010992;SAND.KIDY BB MNO EQUILÍBRIO MARINHO;701 
001;SAND.KIDY BABY EQUILIBRIO;0010992;SAND.KIDY BB MNO EQUILÍBRIO NATURAL;117 
001;SAND.KIDY BABY EQUILIBRIO;0010992;SAND.KIDY BB MNO EQUILÍBRIO PRETO;156 
001;SAND.KIDY BABY EQUILIBRIO;0010993;SAND.KIDY BB MNO EQUILÍBRIO AZUL STONE;705 
001;SAND.KIDY BABY EQUILIBRIO;0010993;SAND.KIDY BB MNO EQUILÍBRIO CARAMELO;1.538 
001;SAND.KIDY BABY EQUILIBRIO;0010993;SAND.KIDY BB MNO EQUILÍBRIO CASTOR;3.162 
001;SAND.KIDY BABY EQUILIBRIO;0010993;SAND.KIDY BB MNO EQUILÍBRIO MARINHO;3.475 
001;SAND.KIDY BABY EQUILIBRIO;0010993;SAND.KIDY BB MNO EQUILÍBRIO PRETO;342 
001;SAND.KIDY BABY EQUILIBRIO;0010994;SAND.KIDY BB MNO EQUILÍBRIO CAFÉ/CAMEL;1.264 
001;SAND.KIDY BABY EQUILIBRIO;0010994;SAND.KIDY BB MNO EQUILÍBRIO CARAMELO;921 
001;SAND.KIDY BABY EQUILIBRIO;0010994;SAND.KIDY BB MNO EQUILÍBRIO CARAMELO/STONE;5.582 
001;SAND.KIDY BABY EQUILIBRIO;0010994;SAND.KIDY BB MNO EQUILÍBRIO CASTOR;1.448 
001;SAND.KIDY BABY EQUILIBRIO;0010994;SAND.KIDY BB MNO EQUILÍBRIO CASTOR/BEGE;1.955 
001;SAND.KIDY BABY EQUILIBRIO;0010994;SAND.KIDY BB MNO EQUILÍBRIO MARINHO;917 
001;SAND.KIDY BABY EQUILIBRIO;0010994;SAND.KIDY BB MNO EQUILÍBRIO MARINHO/VERDE;1.376 
001;SAND.KIDY BABY EQUILIBRIO;0010994;SAND.KIDY BB MNO EQUILÍBRIO NATURAL;322 
001;SAND.KIDY BABY EQUILIBRIO;0010994;SAND.KIDY BB MNO EQUILÍBRIO PRETO/LARANJA;273 
001;SAND.KIDY BABY EQUILIBRIO;0010995;SAND.KIDY BB MNO EQUILÍBRIO AZUL ROYAL;6 
001;SAND.KIDY BABY EQUILIBRIO;0010995;SAND.KIDY BB MNO EQUILÍBRIO AZUL STONE;222 
001;SAND.KIDY BABY EQUILIBRIO;0010995;SAND.KIDY BB MNO EQUILÍBRIO MARINHO;2.637 
001;SAND.KIDY BABY EQUILIBRIO;0010995;SAND.KIDY BB MNO EQUILÍBRIO PRETO;484 
001;SAND.KIDY BABY EQUILIBRIO;0010998;SAND.KIDY BB MNO EQUILIBRIO AZUL STONE/VERDE;24 
001;SAND.KIDY BABY EQUILIBRIO;0010998;SAND.KIDY BB MNO EQUILIBRIO CARAMELO/MARINHO;452 
001;SAND.KIDY BABY EQUILIBRIO;0010998;SAND.KIDY BB MNO EQUILIBRIO CINZA/AZUL ROYAL;118 
001;SAND.KIDY BABY EQUILIBRIO;0010998;SAND.KIDY BB MNO EQUILIBRIO NATURAL;3.572 
001;SAND.KIDY BABY EQUILIBRIO;0010998;SAND.KIDY BB MNO EQUILIBRIO PRETO/LARANJA;481 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO CAFÉ/MARINHO;1.746 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO CASTANHO/CAMEL;7.786 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO CASTANHO/MARINHO;1.169 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO CINZA/MARINHO;3.989 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO MARINHO/AZUL STONE;1.335 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO MARINHO/LARANJA;13.736 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO MARINHO/TAUPE;201 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO MARINHO/VERDE;663 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO NATURAL/CARAMELO;11.851 
001;SAND.KIDY BABY EQUILIBRIO;0010999;SAND.KIDY BB MNO EQUILIBRIO PRETO/CAFE;0 
001;SAND.KIDY BABY EQUILIBRIO;0011000;SAND.KIDY BABY MNO EQUILÍBRIO AZUL STONE;288 
001;SAND.KIDY BABY EQUILIBRIO;0011000;SAND.KIDY BABY MNO EQUILÍBRIO CARAMELO;873 
001;SAND.KIDY BABY EQUILIBRIO;0011000;SAND.KIDY BABY MNO EQUILÍBRIO CASTOR;107 
001;SAND.KIDY BABY EQUILIBRIO;0011000;SAND.KIDY BABY MNO EQUILÍBRIO MARINHO;527 
001;SAND.KIDY BABY EQUILIBRIO;0011000;SAND.KIDY BABY MNO EQUILÍBRIO PRETO;168 
001;SAND.KIDY BABY EQUILIBRIO;0011010;SAND.KIDY BB MNO CINZA;174 
001;SAND.KIDY BABY EQUILIBRIO;0011010;SAND.KIDY BB MNO MARINHO;189 
001;SAND.KIDY BABY EQUILIBRIO;0011010;SAND.KIDY BB MNO MARROM;401 
001;SAND.KIDY BABY EQUILIBRIO;0011012;SAND.KIDY BB MNO AMARELO;132 
001;SAND.KIDY BABY EQUILIBRIO;0011012;SAND.KIDY BB MNO MARINHO;216 
001;SAND.KIDY BABY EQUILIBRIO;0011012;SAND.KIDY BB MNO MARROM;36 
001;SAND.KIDY BABY EQUILIBRIO;0011013;SANDÁLIA KIDY BABY MNA AZUL ROYAL;155 
001;SAND.KIDY BABY EQUILIBRIO;0011013;SANDÁLIA KIDY BABY MNA AZUL STONE;173 
001;SAND.KIDY BABY EQUILIBRIO;0011013;SANDÁLIA KIDY BABY MNA MARINHO;831 
001;SAND.KIDY BABY EQUILIBRIO;0011013;SANDÁLIA KIDY BABY MNA PRETO;24 
001;SAND.KIDY BABY EQUILIBRIO;0011014;SAND.KIDY BABY EQUILÍBRIO MARINHO/AMARELO NEON;679 
001;SAND.KIDY BABY EQUILIBRIO;0011014;SAND.KIDY BABY EQUILÍBRIO PRETO/LARANJA;255 
001;SAND.KIDY BABY EQUILIBRIO;0011015;SANDÁLIA KIDY BABY EQUILÍBRIO CAFE/CARAMELO;444 
001;SAND.KIDY BABY EQUILIBRIO;0011015;SANDÁLIA KIDY BABY EQUILÍBRIO CARAMELO/MARINHO;2.787 
001;SAND.KIDY BABY EQUILIBRIO;0011015;SANDÁLIA KIDY BABY EQUILÍBRIO CASTANHO/MARROM;498 
001;SAND.KIDY BABY EQUILIBRIO;0011015;SANDÁLIA KIDY BABY EQUILÍBRIO MARINHO;1.355 
001;SAND.KIDY BABY EQUILIBRIO;0011016;SANDÁLIA KIDY BABY EQUILÍBRIO CAFE/AREIA/CASTOR;1.711 
001;SAND.KIDY BABY EQUILIBRIO;0011016;SANDÁLIA KIDY BABY EQUILÍBRIO MARINHO/NATURAL/AZUL;918 
001;SAND.KIDY BABY EQUILIBRIO;0011016;SANDÁLIA KIDY BABY EQUILÍBRIO NATURAL/MARROM;444 
001;SAND.KIDY BABY EQUILIBRIO;0011016;SANDÁLIA KIDY BABY EQUILÍBRIO PRETO/MARROM;666 
001;SAND.KIDY BABY EQUILIBRIO;0011017;SANDÁLIA KIDY BABY EQUILÍBRIO CAFE;375 
001;SAND.KIDY BABY EQUILIBRIO;0011017;SANDÁLIA KIDY BABY EQUILÍBRIO CARAMELO/MARINHO;794 
001;SAND.KIDY BABY EQUILIBRIO;0011017;SANDÁLIA KIDY BABY EQUILÍBRIO MARINHO;881 
001;SAND.KIDY BABY EQUILIBRIO;0011017;SANDÁLIA KIDY BABY EQUILÍBRIO NATURAL/CARAMELO;1.790 
001;SAND.KIDY BABY EQUILIBRIO;0011018;SANDÁLIA KIDY BABY EQUILÍBRIO CAFE;894 
001;SAND.KIDY BABY EQUILIBRIO;0011018;SANDÁLIA KIDY BABY EQUILÍBRIO MARINHO/LARANJA;1.664 
001;SAND.KIDY BABY EQUILIBRIO;0011018;SANDÁLIA KIDY BABY EQUILÍBRIO NATURAL;282 
001;SAND.KIDY BABY EQUILIBRIO;0011018;SANDÁLIA KIDY BABY EQUILÍBRIO PRETO/VERDE;770 
001;SAND.KIDY BABY EQUILIBRIO;0011019;SANDALIA KIDY BABY EQUILIBRIO AZ.ROYAL/MARINHO;54 
001;SAND.KIDY BABY EQUILIBRIO;0011019;SANDALIA KIDY BABY EQUILIBRIO MARINHO;858 
001;SAND.KIDY BABY EQUILIBRIO;0011019;SANDALIA KIDY BABY EQUILIBRIO MARINHO/LARANJA;63 
001;SAND.KIDY BABY EQUILIBRIO;0011019;SANDALIA KIDY BABY EQUILIBRIO PRETO/VERDE;435 
001;SAND.KIDY BABY EQUILIBRIO;0011020;SANDALIA KIDY BABY EQUILIBRIO CINZA;152 
001;SAND.KIDY BABY EQUILIBRIO;0011020;SANDALIA KIDY BABY EQUILIBRIO MARINHO;273 
001;SAND.KIDY BABY EQUILIBRIO;0011020;SANDALIA KIDY BABY EQUILIBRIO MARROM;690 
001;SAND.KIDY BABY EQUILIBRIO;0011021;SANDALIA KIDY BABY EQUILIBRIO AMARELO;120 
001;SAND.KIDY BABY EQUILIBRIO;0011021;SANDALIA KIDY BABY EQUILIBRIO MARINHO;438 
001;SAND.KIDY BABY EQUILIBRIO;0011021;SANDALIA KIDY BABY EQUILIBRIO MARROM;105 
001;SAND.KIDY BABY EQUILIBRIO;0011025;SANDALIA KIDY BABY EQUILIBRIO AZUL/VERDE/CINZA;610 
001;SAND.KIDY BABY EQUILIBRIO;0011025;SANDALIA KIDY BABY EQUILIBRIO CASTANHO/MARINHO;3.414 
001;SAND.KIDY BABY EQUILIBRIO;0011025;SANDALIA KIDY BABY EQUILIBRIO CASTOR/LARANJA;2.216 
001;SAND.KIDY BABY EQUILIBRIO;0011025;SANDALIA KIDY BABY EQUILIBRIO MARINHO/AZ.STONE;1.289 
